"","gender","word","n","tf","idf","tf_idf"
"1","female","hormonal",40,0.00195713866327429,0.693147180559945,0.00135658514641344
"2","male","paraben",9,0.00165380374862183,0.693147180559945,0.00114632940555669
"3","female","foundation",33,0.00161463939720129,0.693147180559945,0.00111918274579108
"4","female","certified",29,0.00141892553087386,0.693147180559945,0.000983524231149741
"5","female","proactiv",26,0.00127214013112829,0.693147180559945,0.000881780345168734
"6","female","clogging",23,0.00112535473138272,0.693147180559945,0.000780036459187726
"7","female","licensed",23,0.00112535473138272,0.693147180559945,0.000780036459187726
"8","female","lifestyle",22,0.00107642626480086,0.693147180559945,0.00074612183052739
"9","female","specialists",22,0.00107642626480086,0.693147180559945,0.00074612183052739
"10","female","extractions",21,0.001027497798219,0.693147180559945,0.000712207201867054
"11","male","puberty",5,0.000918779860345461,0.693147180559945,0.000636849669753717
"12","male","redefine",5,0.000918779860345461,0.693147180559945,0.000636849669753717
"13","male","sandalwood",5,0.000918779860345461,0.693147180559945,0.000636849669753717
"14","male","tablet",5,0.000918779860345461,0.693147180559945,0.000636849669753717
"15","female","distance",17,0.000831783931891575,0.693147180559945,0.00057654868722571
"16","female","acneprone",16,0.000782855465309717,0.693147180559945,0.000542634058565375
"17","female","estheticians",16,0.000782855465309717,0.693147180559945,0.000542634058565375
"18","male","acnezine",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"19","male","amoxiclav",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"20","male","batter",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"21","male","dieting",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"22","male","foodrun",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"23","male","frontrow",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"24","male","grains",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"25","male","human",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"26","male","iodide",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"27","male","iodides",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"28","male","kelp",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"29","male","leaky",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"30","male","louise",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"31","male","microdermabrasion",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"32","male","release",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"33","male","thankfully",4,0.000735023888276369,0.693147180559945,0.000509479735802973
"34","female","acneclinic",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"35","female","acnestruggle",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"36","female","bayarea",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"37","female","chocolate",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"38","female","clearskin",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"39","female","finally",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"40","female","sanleandro",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"41","female","skingoals",15,0.00073392699872786,0.693147180559945,0.000508719429905039
"42","female","understand",15,0.00073392699872786,0.693147180559945,0.000508719429905039
